Energy MeV,DOS1,DOS2,DOS3 cm^2 sr
7.32825,0.000612348,2.29203e-05,0.000314361
7.49894,0.000630922,4.48904e-05,0.00035414
7.67361,0.000652716,2.10746e-05,0.000339493
7.85236,0.000658833,2.43781e-05,0.000363868
8.03526,0.000671126,3.23322e-05,0.000308462
8.22243,0.000654902,4.15572e-05,0.000406895
8.41395,0.000657266,3.16008e-05,0.000375706
8.60994,0.000686329,3.8798e-05,0.000330259
8.81049,0.000670195,3.22086e-05,0.000408995
9.01571,0.000673073,2.93162e-05,0.000450282
9.22571,0.00069423,4.23763e-05,0.000443227
9.44061,0.000705904,2.58706e-05,0.000484622
9.66051,0.000693371,4.58647e-05,0.000511143
9.88553,0.000692473,3.99872e-05,0.000496706
